sampleId,name,category,calorie,water,protein,fat,carbohydrate,sugars,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium
R0012160ZZ0AVG,석이버섯 말린것,버섯류,165,12.9,11.75,0.96,68.47,0.33,60.9,47,54.6,85,89,403,6,20.86,0.692,2.926,91.6
R0004970ZZ0AVG,땅콩 소립종 말린것,견과류 및 종실류,564,5.1,22.4,46.3,24.2,0,0,43,3.2,0,300,616,3,0,0,0,0
R0007030ZZ0AVG,도라지 뿌리 생것,채소류,56,84.5,1.7,0.11,13.08,1.98,4.2,40,0.32,22,67,231,3,0.82,0.086,0.19,1.79
R0030440ZZ0AVG,소고기 한우(1+등급) 우둔(우둔살) 생것,육류,163,70.3,22.68,7.33,0,0,0,2,2.64,23,184,316,41,4.05,0.055,0.014,20.37
R0020660ZZ0AVG,살살치 생것,어패류 및 기타 수산물,70,82.2,15.5,0.2,0.6,0,0,59,0.9,0,243,0,0,0,0,0,0
R0019850ZZ0AVG,명태 코다리 반건조 구운것,어패류 및 기타 수산물,112,73,25.2,0.5,0,0,0,53,2.8,0,182,283,132,0,0,0,0
R0012080ZZ0AVG,버들송이버섯 생것,버섯류,20,88.4,4.2,0.1,5.5,0,0,2,0.9,0,14,435,7,0,0,0,0
R0016650ZZ0AVG,소고기 한우(1++등급) 우둔(홍두깨살) 생것,육류,161,69.8,21.2,7.8,0,0,0,65,0,0,196,354,62,0,0,0,0
R0002770ZZ0AVG,찹쌀 동진찰벼 현미 생것,곡류 및 그 제품,357,13.2,7.14,2.18,76.22,0.39,6.2,10,1.18,118,322,248,1,2.35,0.234,1.604,1.37
R0003520ZZ0AVG,전분 옥수수 가루,감자 및 전분류,366,9.6,0.19,0.56,89.6,0.05,0.4,3,0.19,3,17,13,6,0,0.001,0.004,0.63
R0003100ZZ0AVG,감자 보라밸리 삶은것,감자 및 전분류,69,81.6,1.39,0.05,15.97,0,1.6,7,0.34,17,59,386,2,0.23,0.085,0.11,0.76
R0003950ZZ0AVG,젤라틴 디저트용 가루 ,당류,381,1,7.8,0,90.5,86.04,0,3,0.13,2,141,7,466,0.01,0.118,0.011,6.7
R0015370ZZ0AVG,닭고기 살코기 튀긴것(튀김옷),육류,289,49.39,22.54,17.35,9.42,0,0.3,21,1.37,21,155,185,292,1.67,0.072,0.057,25.5
R0002170ZZ0AVG,파스타 스파게티 말린것 삶은것,곡류 및 그 제품,129,69.1,3.8,0,26.9,0,0,5,0.7,0,8,29,7,0,0,0,0
R0027730ZZ0AVG,발사믹식초,조미료류,88,76.45,0.49,0,17.03,14.95,0,27,0.72,12,19,112,23,0.08,0.026,0.131,0
R0017750ZZ0AVG,어린양 부산물 미국산 간 삶은것,육류,220,56.67,30.57,8.81,2.53,0,0,8,8.28,22,420,221,56,7.89,7.074,0.52,111.4
R0026140ZZ0AVG,아마씨유,유지류,884,0.12,0.11,99.98,0,0,0,1,0,0,1,0,0,0.07,0,0,0
R0025690ZZ0AVG,요구르트 호상 딸기맛,우유 및 유제품류,95,78.3,2.95,2.46,15.53,14.46,0.7,123,0.06,12,89,163,41,0.46,0.001,0.093,3.73
R0004910ZZ0AVG,땅콩 삶은것 소금첨가,견과류 및 종실류,318,41.78,13.5,22.01,21.26,2.47,8.8,55,1.01,102,198,180,751,1.83,0.499,1.023,4.4
R0013540ZZ0AVG,복숭아 천도 생것,과실류,32,90.7,0.93,0.05,7.85,4.67,3.8,6,0.19,10,21,231,0,0.21,0.023,0.05,0
R0003300ZZ0AVG,고구마 점질(호박) 고구마 구운것,감자 및 전분류,186,52.5,1.25,0.16,44.98,23.21,3.7,21,0.66,31,63,459,9,0.24,0.125,0.486,2.17
R0029100ZZ0AVG,소머리국밥,조리가공품류,79,84.4,9.5,3.6,2.2,0,0.5,9,12.4,0,32,37,103,0,0,0,0
R0024940ZZ0AVG,김 참김 생것,해조류,12,90.5,3.3,0.4,2,0,0,490,4.5,0,474,2208,144,0,0,0,0
R0031430ZZ0AVG,커피 커피가루 설탕 물에 탄것(중량 2.7g),차류,17,95.8,0.18,0,3.98,1.68,0,2,0.02,3,3,34,0,0,0,0.023,0.21
R0004290ZZ0AVG,동부 미얀마산 삶은것,두류,155,61.8,10.02,1.12,26.28,0,11.3,43,1.82,57,151,209,2,1.5,0.165,0.53,3.04
R0011560ZZ0AVG,피망 초록색 생것,채소류,22,93.2,0.9,0.04,5.36,1.35,2.7,14,0.5,12,25,187,1,0.07,0.037,0.06,0.33
R0008690ZZ0AVG,브로콜리 잎 삶아서 말린것,채소류,271,13.4,17.4,1.8,59.8,0,0,1716,3.9,0,364,671,35,0,0,0,0
R0013480ZZ0AVG,복숭아 당절임,과실류,311,21.5,2.6,0.1,75,0,0,5,1.2,0,60,1238,51,0,0,0,0
R0006210ZZ0AVG,고추 시레나 연두색 생것,채소류,19,94.1,1,0.1,4.4,0,0,5,0.4,0,19,231,3,0,0,0,0
R0000130ZZ0AVG,메밀 냉면 말린것 삶은것,곡류 및 그 제품,141,66.2,4.22,0.59,28.71,0,1.4,18,0.56,15,40,17,68,0.32,0.042,0.38,3.58
R0031440ZZ0AVG,누에 번데기 생것,기타,126,76.7,12.62,7.55,1.95,0,0.4,36,0.73,103,243,365,2,3.88,0.248,0.55,2.83
R0024500ZZ0AVG,오징어 말린것,어패류 및 기타 수산물,353,19.5,67.8,6.9,0.2,0,0,252,2.8,0,821,750,980,0,0,0,0
R0001560ZZ0AVG,국수 중국국수 말린것 삶은것,곡류 및 그 제품,148,65,5.2,0.6,28.6,0,1.5,11,0.5,8,36,10,200,0.1,0.05,0.16,0
R0020690ZZ0AVG,삼치 구운것,어패류 및 기타 수산물,202,63.8,23.6,10.8,0.1,0,0,22,0.9,36,310,610,90,1.1,0.05,0.01,0
R0019030ZZ0AVG,대구 구운것,어패류 및 기타 수산물,109,72.8,25.2,0.2,0.2,0,0,48,0.4,33,280,480,140,0.9,0.05,0.02,0
R0009500ZZ0AVG,시금치 섬초 생것,채소류,24,91.5,3.11,0.34,3.72,0,3.1,59,2.06,73,57,495,16,0.59,0.064,0.532,1.85
R0003650ZZ0AVG,히카마(얌빈) 삶은것,감자 및 전분류,45,88.5,0.39,0.06,10.66,2.93,1.4,13,0.15,8,28,165,0,0.16,0.021,0.078,0.39
R0019470ZZ0AVG,돔 참돔 생것,어패류 및 기타 수산물,83,79.3,18.4,0.1,0.8,0,0,33,0.5,0,270,0,0,0,0,0,0
R0023020ZZ0AVG,바지락 조미통조림,어패류 및 기타 수산물,110,69.9,16,0.8,8.8,0,0,66,16,0,183,0,0,0,0,0,0
R0002530ZZ0AVG,옥수수 가루,곡류 및 그 제품,364,8.1,7.32,0.97,83.3,0.54,1.9,5,0.73,14,52,105,2,0.3,0.008,0.073,2.58
R0000920ZZ0AVG,즉석밥 누룽지,곡류 및 그 제품,415,1.1,6.64,0.84,90.98,1.14,3.7,12,0.19,14,86,92,70,1.88,0.198,0.973,4.21
R0014370ZZ0AVG,자몽(그레이프프루트) 주스 가당 캔,과실류,46,87.38,0.58,0.09,11.13,11.03,0.1,8,0.36,10,11,162,2,0.06,0.048,0.02,0.1
R0027470ZZ0AVG,고추냉이 페이스트,조미료류,148,56.4,3.03,1.58,35.81,3.18,7.3,98,1.09,39,49,343,801,1.6,0.099,0.219,15.58
R0018110ZZ0AVG,피단 오리알,난류,166,71,12.98,10.05,4.21,0.06,0,56,2.28,9,177,127,496,0.77,0.453,0.02,23.21
R0030620ZZ0AVG,옥수수 메옥수수 평안옥 말린것,곡류 및 그 제품,358,10.8,11.77,4.61,71.24,2.26,7.8,7,2.52,128,412,368,4,2.87,0.137,1.259,0.05
R0023790ZZ0AVG,군소 생것,어패류 및 기타 수산물,36,90.1,5.8,1,0.5,0,0,109,1.7,0,53,0,0,0,0,0,0
R0007420ZZ0AVG,마늘 중국산 깐마늘 생것,채소류,120,67.8,6.99,0.99,22.78,2.26,6.1,13,0.79,28,143,562,14,0.57,0.124,0.291,1.79
R0005160ZZ0AVG,밤 옥광 삶은것,견과류 및 종실류,154,60.7,3.1,0.1,35,0,0,12,1.5,0,72,489,1,0,0,0,0
R0021670ZZ0AVG,장어 뱀장어 조미 구운것,어패류 및 기타 수산물,258,50.2,30.4,14.2,0,0,0,1129,21,0,497,0,0,0,0,0,0
R0025070ZZ0AVG,매생이 말린것,해조류,125,15.6,20.6,0.5,40.6,0,0,574,43.1,0,270,0,0,0,0,0,0
R0023580ZZ0AVG,가재 바닷가재 찐것,어패류 및 기타 수산물,82,79.37,16.77,1.2,0,0,0,60,0.83,33,270,296,97,1.76,0.685,0.522,36.7
R0005370ZZ0AVG,잣 생것,견과류 및 종실류,630,3.3,15.96,59.28,19.38,1.5,4.1,18,6.07,233,470,500,1,6.56,1.441,14.219,8.22
R0027830ZZ0AVG,소금 가공염 죽염,조미료류,0,0.3,0.01,0.01,0,0,0,56,11.94,91,117,1262,38330,0.3,0.361,2.29,12.92
R0011190ZZ0AVG,토란대 줄기 데친것,채소류,20,93.6,0.4,0,5.3,0,0,91,0.1,0,39,125,1,0,0,0,0
R0021560ZZ0AVG,잉어 생것,어패류 및 기타 수산물,112,76.9,17.5,4,0.3,0,0,50,1.4,0,225,370,48,0,0,0,0
R0023720ZZ0AVG,게 왕게 생것,어패류 및 기타 수산물,67,83,13.7,0.7,0.6,0,0,69,2.1,0,159,370,550,0,0,0,0
R0013040ZZ0AVG,리치 생것,과실류,63,82.1,1,0.1,16.4,0,0.9,2,0.2,13,22,170,0,0.2,0.14,0.17,0
R0030430ZZ0AVG,소고기 한우(1+등급) 양지(치마양지) 생것,육류,212,66,20.81,13.71,0,0,0,3,1.71,19,159,309,51,4.67,0.029,0.01,19.35
R0024340ZZ0AVG,새우젓 동백하젓 토굴 염절임,어패류 및 기타 수산물,51,65.1,8.3,1,1.6,0,0,473,1.2,0,170,286,9173,0,0,0,0
R0004640ZZ0AVG,두부 동두부 동결건조,두류,536,7.2,50.5,34.1,4.2,0,2.5,630,7.5,140,820,34,440,5.2,0.57,4.32,19
R0008530ZZ0AVG,부지갱이(섬쑥부쟁이) 삶아서 말린것,채소류,296,7.8,25.09,2.88,59.07,5.37,31.1,571,9.49,145,468,1466,214,2.66,0.323,7.512,8.22
R0001680ZZ0AVG,빵 꽈배기,곡류 및 그 제품,404,23.2,7.9,20.4,47.2,0,2.1,32,9.3,0,136,112,431,0,0,0,0
R0025880ZZ0AVG,치즈 브릭,우유 및 유제품류,371,44.11,23.24,29.68,2.79,0.51,0,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5
R0011320ZZ0AVG,토스카노(잎브로콜리) 생것,채소류,40,86.4,4.7,0.6,6.7,0,0,254,0.4,0,46,263,189,0,0,0,0
R0029450ZZ0AVG,초밥 유부초밥,조리가공품류,165,61,4.32,2.51,31.26,2.11,1.9,63,0.39,9,57,33,255,0.78,0.051,0.337,8.93
R0030880ZZ0AVG,상황버섯 추출,버섯류,3,99.4,0.07,0.01,0.56,0.12,0,1,0.05,2,12,13,1,0.01,0.007,0.028,0.31
R0016590ZZ0AVG,소고기 한우(1++등급) 등심 생것,육류,278,59.2,16.9,22.8,0,0,0,51,0,0,134,234,43,0,0,0,0
R0011360ZZ0AVG,파 생것,채소류,29,91.4,1.2,0.2,6.7,0,0,25,1,0,26,239,17,0,0,0,0
R0009610ZZ0AVG,쑥갓 생것,채소류,15,94.6,1.93,0.17,2.35,0,2.4,91,0.79,18,36,239,145,0.26,0.072,0.114,1.14
R0010220ZZ0AVG,염교(락교) 장아찌 초절임,채소류,93,74.3,0.52,1,21.79,18.72,2.6,21,2.83,1,8,20,840,0.16,0.064,0.082,1.8
R0022190ZZ0AVG,청어 부산물 알 생것,어패류 및 기타 수산물,107,76,19.6,2.4,0.5,0,0,38,2.3,0,127,0,0,0,0,0,0
R0030220ZZ0AVG,소고기 한우(1+등급) 사태(상박살) 생것,육류,207,66.8,20.12,13.38,0,0,0,3,2.73,16,167,273,53,6.25,0.075,0.014,18.41
R0025500ZZ0AVG,산양유,우유 및 유제품류,62,88.4,3.16,3.62,4.03,3.48,0,149,0.03,16,134,201,40,0.51,0.006,0.008,3.32
R0029160ZZ0AVG,스프 소고기 스프 가루 ,조리가공품류,406,4.3,11.3,10.3,67.1,0,0,10,0.8,0,139,315,3627,0,0,0,0
R0019350ZZ0AVG,돔 벵에돔 생것,어패류 및 기타 수산물,99,77,20.2,1.4,0,0,0,42,1.1,0,233,0,0,0,0,0,0
R0001650ZZ0AVG,라면 말린것 삶은것,곡류 및 그 제품,175,62,3.61,4.17,29.65,0,3.9,97,0.42,9,40,44,104,0.23,0.033,0.191,7.17
R0030960ZZ0AVG,표고버섯 배지재배 말린것(자연건조),버섯류,174,9.7,23.56,1.99,58.78,0.19,39.1,33,3.36,132,575,2279,16,5.08,0.358,1.959,8.03
R0013280ZZ0AVG,무화과 승정도후인 말린것,과실류,254,27.4,5.1,0.9,63.6,0,0,265,1.3,0,133,1225,9,0,0,0,0
R0008030ZZ0AVG,방울다다기양배추 생것,채소류,49,84.2,3.28,0.16,11.17,3.55,5.5,49,1.21,24,69,422,25,0.33,0.006,0.242,5.53
R0017610ZZ0AVG,송아지 부산물 미국산 허파 생것,육류,90,80.5,16.3,2.3,0,0,0,7,5.23,12,288,274,108,1.16,0.241,0.018,17.2
R0006070ZZ0AVG,고비 야생 삶아서 말린것,채소류,299,5.2,17.95,1.7,67.51,7.61,36.2,226,7.18,209,313,2947,28,11.27,1.579,3.194,4.75
R0015700ZZ0AVG,돼지고기 목심(목심살) 구운것(팬),육류,258,55.9,24.06,17.23,0,0,0,7,1.06,25,250,436,65,3.75,0.074,0.003,27.15
R0018770ZZ0AVG,놀래기 생것,어패류 및 기타 수산물,107,76.2,19.2,2.8,0,0,0,34,1.1,0,221,0,0,0,0,0,0
R0005660ZZ0AVG,가시오갈피 순 생것,채소류,76,76,5.67,0.7,15.87,4.56,8.8,211,3.43,55,104,678,1,1.18,0.157,4.876,1.44
R0007170ZZ0AVG,두릅 땅두릅 데친것,채소류,24,92,2.3,0.25,4.56,1.08,3.4,73,1.57,26,67,370,2,0.54,0.091,0.447,2.81
R0020860ZZ0AVG,상어 부산물 알 생것,어패류 및 기타 수산물,321,50,25,23.5,0.5,0,0,0,0,0,326,0,0,0,0,0,0
R0018750ZZ0AVG,노래미 줄노래미 생것,어패류 및 기타 수산물,86,79.9,17.5,1.2,0,0,0,67,1.8,0,239,0,0,0,0,0,0
R0023940ZZ0AVG,멍게 붉은멍게 생것,어패류 및 기타 수산물,77,82.2,9.2,2.6,3.7,0,0,37,1.8,0,144,0,0,0,0,0,0
R0021520ZZ0AVG,인상어 생것,어패류 및 기타 수산물,133,71.8,21.8,4.2,0.4,0,0,89,1.8,0,115,0,0,0,0,0,0
R0027570ZZ0AVG,된장 개량 찌개용,조미료류,173,52.5,12.5,5.59,18.5,5.4,9.1,92,2.17,69,195,609,4206,1.3,0.251,0.82,69.23
R0011420ZZ0AVG,파슬리 생것,채소류,36,87.6,3.2,0.5,6.8,0,0,206,1.5,0,60,680,35,0,0,0,0
R0002320ZZ0AVG,수수 도정 생것,곡류 및 그 제품,374,10.2,11.67,3.01,73.63,0.46,0,8,2.84,123,302,367,6,1.28,0.197,1.324,1.7
R0015650ZZ0AVG,돼지고기 등심 생것,육류,135,71.6,24.03,3.6,0,0,0,4,0.38,26,222,354,39,1.25,0.02,0,24.72
R0012740ZZ0AVG,귤 온주밀감 생것,과실류,39,89.1,0.53,0.1,10.04,7.99,1.6,13,0.12,9,12,101,2,0.17,0.021,0.081,0.36
R0009310ZZ0AVG,숙주나물 찐것,채소류,16,94.8,1.96,0.11,2.9,0,1.7,16,0.32,10,31,82,4,0.27,0.069,0.081,3.18
R0020820ZZ0AVG,상어 은상어 생것,어패류 및 기타 수산물,102,75.3,22.9,0.5,0,0,0,89,0.9,0,217,0,0,0,0,0,0
R0014500ZZ0AVG,크랜베리 주스 칵테일,과실류,54,86.17,0,0.1,13.52,11.87,0,3,0.1,1,1,14,2,0.03,0.01,0.048,0.2
R0012210ZZ0AVG,아위버섯 생것,버섯류,26,86.8,3.53,0.4,8.56,0.59,4.6,3,0.31,17,113,296,6,1.1,0.07,0.106,4.67
R0015040ZZ0AVG,고래고기 생것,육류,111,72.5,26.5,0.5,0,0,0,7,25.9,22,239,283,78,2.76,0.113,0.046,36.5
R0023550ZZ0AVG,가재 갯가재 생것,어패류 및 기타 수산물,87,79.3,16.1,1.7,0.8,0,0,149,1.2,0,238,0,0,0,0,0,0
R0000930ZZ0AVG,즉석밥 누룽지 끓는물 부음,곡류 및 그 제품,69,83.4,1.32,0.1,15.06,1.15,0.5,4,0.08,2,12,13,13,0.34,0.028,0.138,0.61
R0010460ZZ0AVG,유채 동채 생것,채소류,29,89.7,4.13,0.32,4.57,0.6,3.4,174,1.45,29,70,428,11,0.36,0.039,0.89,2.73
R0031790ZZ0AVG,고등어 고형물 통조림,어패류 및 기타 수산물,161,66.2,23.47,7.14,0.64,0,0,366,1.43,33,311,249,249,1.1,0.113,0,64.78
R0023650ZZ0AVG,게 대게 삶아서 말린것,어패류 및 기타 수산물,316,18.2,66.7,2.6,2,0,0,669,3.9,0,681,0,0,0,0,0,0
R0019120ZZ0AVG,대구 부산물 알 생것,어패류 및 기타 수산물,115,69.6,23.4,1.6,0.2,0,0,10,1,0,375,0,0,0,0,0,0
R0024950ZZ0AVG,김 참김 말린것,해조류,165,11.4,38.6,1.7,40.3,0,0,325,17.6,0,762,3503,1294,0,0,0,0
R0016720ZZ0AVG,소고기 한우(3등급) 설도(설깃살) 생것,육류,104,75.4,22.2,1,0,0,0,0,0,0,194,312,83,0,0,0,0
R0002980ZZ0AVG,감자 대지 삶은것,감자 및 전분류,77,79.5,2.07,0.08,17.39,0,1.6,8,0.65,22,35,374,1,0.34,0.142,0.125,6.04
R0004200ZZ0AVG,녹두 삶은것,두류,158,60,11.29,0.67,26.66,0,9.8,47,2,69,225,460,2,1.55,0.24,0.527,7.09
R0005580ZZ0AVG,피칸 조미 볶은것,견과류 및 종실류,710,1.12,9.5,74.27,13.55,4.06,9.4,72,2.8,132,293,424,383,5.07,1.167,3.933,4
R0019210ZZ0AVG,도루묵 소금에 절여 말린것,어패류 및 기타 수산물,280,30.1,44.8,9.8,0.2,0,0,25,20,0,163,220,1200,0,0,0,0
R0026290ZZ0AVG,포도씨유,유지류,920,0,0,99.93,0.01,0,0,0,0.09,0,0,0,1,0,0.038,0,0
R0025540ZZ0AVG,아이스크림 바닐라맛,우유 및 유제품류,179,64.2,4.98,7.83,22.25,17.3,0,80,0.04,10,66,188,70,0.22,0.001,0.002,3.43
R0001420ZZ0AVG,과자 크랙커 채소,곡류 및 그 제품,506,0.4,7.38,22.62,68.26,12.12,1.8,65,0.76,18,142,121,394,0.36,0.067,0.66,14.5
R0011610ZZ0AVG,호박 잎 생것,채소류,45,84.1,4.83,0.38,8.43,0.84,5,285,2.49,126,131,627,0,0.58,0.088,0.43,0.58
R0016520ZZ0AVG,소고기 한우 등심 삶은것,육류,348,46.5,25.2,26.63,0,0,0,7,3,18,159,195,33,6.43,0.051,0,19.86
R0019840ZZ0AVG,명태 코다리 반건조,어패류 및 기타 수산물,108,75.1,21.7,1.7,0.1,0,0,41,0.4,0,218,229,208,0,0,0,0
R0002370ZZ0AVG,시리얼 현미,곡류 및 그 제품,394,2.8,6.8,2.79,85.33,17.24,3.3,11,8.97,108,321,225,551,8.79,0.2,2.608,36.42
R0008950ZZ0AVG,상추 로메인 적상추 생것,채소류,17,93.4,2.28,0.22,2.69,0.15,1.7,143,1.08,45,42,567,30,0.94,0.041,0.443,0.52
R0000750ZZ0AVG,멥쌀미음 칠분도미,곡류 및 그 제품,21,95,0.3,0.1,4.6,0,0,1,0,2,5,4,0,0.1,0.01,0.06,0
R0023180ZZ0AVG,우렁이 큰논우렁이 생것,어패류 및 기타 수산물,76,79.9,17.4,0.1,0.3,0,0,46,2.6,0,147,0,0,0,0,0,0
R0010290ZZ0AVG,오이 취청 생것,채소류,13,95.6,1.15,0.03,2.81,1.47,0.5,34,0.18,13,23,161,2,0.19,0.027,0.043,0.08
R0005840ZZ0AVG,갯기름나물 하우스 데친것,채소류,51,83.7,3.41,0.79,10.24,0,7.1,228,0.8,20,70,556,7,1.48,0.149,2.273,16.89
R0020210ZZ0AVG,베도라치 생것,어패류 및 기타 수산물,106,76,20.7,1.9,0,0,0,38,1.1,0,221,0,0,0,0,0,0
R0027610ZZ0AVG,된장 재래,조미료류,193,47.8,13.73,7.25,18.94,5.45,10.3,79,2.07,74,218,539,4339,1.46,0.328,1.264,67.58
R0030820ZZ0AVG,느타리버섯 말린것(자연건조),버섯류,182,6.3,25.36,2.98,58.92,0,57.2,1,11.73,157,961,2017,19,9.17,0.523,0.798,51.28
R0015550ZZ0AVG,닭 육수,육류,12,98,1.3,0.7,0,0,0,17,0.3,0,23,71,13,0,0,0,0
R0021070ZZ0AVG,쏘가리 생것,어패류 및 기타 수산물,110,77.6,17.2,4.1,0,0,0,71,2.1,0,202,296,86,0,0,0,0
R0024040ZZ0AVG,새우 각시흰새우 생것,어패류 및 기타 수산물,85,77.8,15.7,1.6,1,0,0,1341,1.8,0,329,0,0,0,0,0,0
R0028110ZZ0AVG,정향 가루 ,조미료류,417,7.5,7.2,13.6,66.4,0,0,640,9.9,250,95,1400,280,1.1,0.39,93,0
R0023110ZZ0AVG,소라 통조림,어패류 및 기타 수산물,127,64.9,19.6,0.1,10.9,0,0,49,7.6,0,89,0,0,0,0,0,0
R0029980ZZ0AVG,프로폴리스,기타,642,2.1,0.5,50.3,46.9,0,0,18,2.7,0,16,84,19,0,0,0,0
R0030770ZZ0AVG,바질잎 생것 ,채소류,32,90.1,2.43,0.71,5.56,0.8,2.6,238,0.64,46,69,340,3,0.77,0.153,0.763,1.43
R0009780ZZ0AVG,아티초크 삶은것,채소류,53,84.08,2.89,0.34,11.95,0.99,5.7,21,0.61,42,73,286,60,0.4,0.127,0.225,0.2
R0023390ZZ0AVG,조개 새조개 말린것,어패류 및 기타 수산물,295,23.8,61.1,1.5,5.2,0,0,207,11.2,0,610,0,0,0,0,0,0
R0023340ZZ0AVG,조개 떡조개 생것,어패류 및 기타 수산물,85,78.3,11.2,1,7.4,0,0,104,3.8,0,124,0,0,0,0,0,0
R0019730ZZ0AVG,멸치 볶음 멸치풋고추볶음,어패류 및 기타 수산물,266,42.1,23.3,11.2,17,0,2.2,561,35.5,0,598,407,1378,0,0,0,0
R0015530ZZ0AVG,닭 부산물 닭발 삶은것,육류,215,65.8,19.4,14.6,0.2,0,0,88,0.91,5,83,31,67,0.69,0.102,0,3.6
R0004100ZZ0AVG,초콜릿 스위트 초콜릿,당류,507,0.5,3.9,34.2,60.4,51.48,0,24,2.76,113,147,290,16,1.5,0.574,0.494,2.8
R0010260ZZ0AVG,오이 개량종 생것,채소류,14,95.2,1.22,0.02,3.05,1.38,0.7,18,0.2,14,39,196,3,0.24,0.022,0.583,0.33
R0025160ZZ0AVG,미역 염장 데친것,해조류,35,61.8,6,0.9,9.3,0,0,178,3.2,0,87,250,13000,0,0,0,0
R0006600ZZ0AVG,김치 배추 김치 봄 재배 ,채소류,39,88.4,2.22,0.67,5.95,2.38,3.6,53,0.56,27,56,430,626,0.43,0.023,0.272,5.54
R0003430ZZ0AVG,마 장마 생것,감자 및 전분류,45,87.8,1.56,0.28,9.55,2.22,1.8,15,0.22,18,44,374,3,0.44,0.06,0.02,0.79
R0000320ZZ0AVG,멥쌀 일본산 백미 생것,곡류 및 그 제품,367,12.5,5,0.4,81.8,0,0,1,1,0,39,74,2,0,0,0,0
R0000090ZZ0AVG,메밀 국수 생것 삶은것,곡류 및 그 제품,124,70.1,3.54,0.44,25.73,0,1.7,7,0.28,4,21,7,38,0.21,0.03,0.145,2.9
R0008650ZZ0AVG,브로콜리 데친것,채소류,28,90.7,2.8,0.31,5.34,0.4,3.1,37,0.68,20,60,301,4,0.83,0.02,0.218,2.21
